	complexity.dist_spec_init	complexity.fro_dist	complexity.fro_over_spec	complexity.inverse_margin	complexity.l2	complexity.l2_dist	complexity.log_prod_of_fro	complexity.log_prod_of_fro_over_margin	complexity.log_prod_of_spec	complexity.log_prod_of_spec_over_margin	complexity.log_sum_of_fro	complexity.log_sum_of_fro_over_margin	complexity.log_sum_of_spec	complexity.log_sum_of_spec_over_margin	complexity.pacbayes_flatness	complexity.pacbayes_init	complexity.pacbayes_mag_flatness	complexity.pacbayes_mag_init	complexity.pacbayes_mag_orig	complexity.pacbayes_orig	complexity.param_norm	complexity.params	complexity.path_norm	complexity.path_norm_over_margin	cross_entropy	data_seed	epoch	experiment_id	gen.gap	gen.train_acc	gen.val_acc	hp.lr	hp.model_depth	hp.model_width	index	is.converged	is.high_train_accuracy	is.last_epoch	repeat_id	seed	train_dataset_size
0	28.0481	1511.13	1095.11	0.0425705	70.9315	38.8732	106.32	103.163	36.3764	33.2198	8.31171	8.15388	4.81455	4.65672	55.0607	20821.7	6.11786	995088	1.28644e+06	69277.2	5031.28	972830	84.6451	3.60339	0.00828169	42	19	-2959591463707652910	0.4333	1	0.5667	0.01	3	8	0	True	True	True	1590113276198804107	4	6250
2	32.6047	3263.4	1388.18	0.041906	92.6272	57.1262	84.5621	81.3898	29.7422	26.5699	8.67921	8.45261	4.7635	4.53691	77.9263	63597.1	7.41693	2.39449e+06	2.90112e+06	167169	8579.8	2102030	196.05	8.21568	0.00977058	42	25	-2546047217668018735	0.3718	1	0.6282	0.01	2	16	2	True	True	True	1590113528386056542	3	6250
4	36.2819	2446.55	2755.69	0.0321531	113.909	49.4626	185.86	182.423	61.4163	57.979	9.27385	9.16644	5.38499	5.27758	60.18	36829.2	7.03761	7.27114e+06	1.03456e+07	195233	12975.2	7392830	20.5324	0.660181	0.00981839	42	63	-5508358605167037948	0.45752	0.99872	0.5412	0.003162	5	16	4	True	True	True	1590113489209509612	0	6250
7	33.3249	4710.9	2174.33	0.0328201	105.559	68.636	87.9774	84.5607	30.1827	26.766	8.92316	8.6791	4.79496	4.55091	86.6592	102082	8.46281	2.19954e+06	2.6508e+06	241427	11142.8	2102030	1006.45	33.0318	0.00999221	42	91	3878930905162672824	0.4239	1	0.5761	0.001	2	16	7	True	True	True	1590115277185170393	4	6250
10	31.7931	4058.37	1926.85	0.0338449	100.642	63.7054	86.8834	83.4974	29.8668	26.4808	8.84501	8.60316	4.7724	4.53054	80.6845	81882.9	7.65943	2.24903e+06	2.72841e+06	204331	10128.8	2102030	602.291	20.3845	0.00875016	42	39	-5731590468595689123	0.4074	1	0.5926	0.003162	2	16	10	True	True	True	1590113632883816676	1	6250
11	42.6195	2352.51	2722.02	0.0330779	113.659	48.5027	215.739	212.33	71.9593	68.5504	9.31492	9.22522	5.53125	5.44155	60.18	35414.3	3.73292	5.99732e+06	8.97524e+06	194376	12918.3	7014380	13.8213	0.45718	0.00903376	42	111	-1831960413689477244	0.44636	0.99936	0.553	0.003162	6	14	11	True	True	True	1590114370114903741	2	6250
13	32.7565	2751.72	1103.41	0.0436883	81.7915	52.4569	81.486	78.3553	28.9482	25.8175	8.45949	8.23587	4.70678	4.48316	68.1956	46934.7	7.49647	1.35295e+06	1.61559e+06	114075	6689.85	1186530	239.215	10.4509	0.00989068	42	30	-2775294095317312987	0.3901	1	0.6099	0.01	2	12	13	True	True	True	1590113147000351227	2	6250
14	34.0823	2103.66	2280.51	0.0313457	96.7018	45.8657	176.62	173.157	57.9364	54.4737	8.98511	8.8769	5.27625	5.16804	58.397	30732.6	7.33865	2.98699e+06	4.06341e+06	136542	9351.24	2895530	63.4046	1.98746	0.00991194	42	70	3479100151182935276	0.4846	0.9992	0.5146	0.001585	5	10	14	True	True	True	1590114839908142084	4	6250
15	32.3034	2878.06	1168.03	0.0347665	77.6654	53.6476	79.7785	76.4194	27.9783	24.6192	8.33752	8.09758	4.6375	4.39757	75.3071	54205.6	12.8194	611624	709399	113583	6031.92	531030	1231.12	42.8017	0.00995756	42	129	2870264491309729402	0.4327	1	0.5673	0.001	2	8	15	True	True	True	1590114733970471310	3	6250
16	28.6297	1766.65	1285.47	0.0443341	78.6293	42.0315	109.883	106.767	37.4507	34.3347	8.48987	8.33407	4.86827	4.71247	58.397	25812.5	4.87039	1.5071e+06	1.98026e+06	90281.7	6182.57	1516030	69.3561	3.07484	0.00951066	42	20	-4585854124910700937	0.43434	0.99984	0.5655	0.01	3	10	16	True	True	True	1590113120428773524	2	6250
21	45.446	2042.69	2128.29	0.0395891	106.807	45.1961	210.369	207.14	72.1729	68.9436	9.17362	9.08864	5.53687	5.45189	60.18	30753	4.03143	6.00557e+06	9.01241e+06	171649	11407.7	7014380	8.91207	0.352821	0.00898038	42	77	-127866482121014666	0.4511	0.9992	0.5481	0.00631	6	14	21	True	True	True	1590114999786474398	4	6250
22	32.8229	2456.66	935.179	0.0408849	72.3009	49.5647	78.0888	74.8918	27.7414	24.5444	8.21683	7.98847	4.62058	4.39223	55.0607	33837.1	8.75886	607496	707272	71977.1	5227.42	531030	510.634	20.8772	0.00976662	42	41	3245632698784002773	0.3979	1	0.6021	0.00631	2	8	22	True	True	True	1590113428186189924	3	6250
23	33.0061	3774.09	1664.98	0.0331133	92.5029	61.4337	84.5657	81.1579	29.312	25.9042	8.67946	8.43605	4.73277	4.48936	86.6592	81785.9	10.3692	1.29959e+06	1.54162e+06	185402	8556.79	1186530	1068.08	35.3676	0.00962851	42	106	6884079626664233470	0.4251	1	0.5749	0.001	2	12	23	True	True	True	1590113849534355266	0	6250
